Gene,Reference
ink4a‐arf,ink4a‐arf
ros oncogene,ros oncogene
blood–brain,blood–brain
rb1,rb1
n‐myc,n‐myc
insulin‐like growth factor,insulin‐like growth factor
trp53 mutant,trp53 mutant
mtor,frap
epidermal growth factor receptor locus,epidermal growth factor receptor locus
rcas‐kras,rcas‐kras
nf1,arcl
rb,rb1
vascular‐endothelial growth factor receptor,vascular‐endothelial growth factor receptor
tumor‐stroma,tumor‐stroma
pi3k,cst-1
forebrains,forebrains
arf,hist1h4d
pdgfr,cd140b
p53 mutations,p53 mutations
xrcc4,ssmed
mycn oncogene,mycn oncogene
p53 gene,p53 gene
layer,layer
cdkn2,hist1h4d
phosphatidylinositol 3‐kinase,phosphatidylinositol 3‐kinase
stat3,hies
prb,rb1
li,li
p53 tumor suppressor gene,p53 tumor suppressor gene
stem,stem
syndromes,syndromes
fanconi anemia,fanconi anemia
leptomeningeal,leptomeningeal
ros fusion tyrosine kinase,ros fusion tyrosine kinase
pten,glm2
tg,tgn
optic,optic
mtap gene,mtap gene
peutz-jeghers syndrome,peutz-jeghers syndrome
hh,hfe
notch ligand,notch ligand
oncogenic k-ras,oncogenic k-ras
mtap,tmem4
bak,bak-like
al,al
matrix metalloproteinase-7,matrix metalloproteinase-7
cdk4,cdk4
"syndrome, peutz-jeghers","syndrome, peutz-jeghers"
akt2,pkb-beta
smad4 gene,smad4 gene
stress-activated protein kinase,stress-activated protein kinase
e-cadherin proteins,e-cadherin proteins
foxo transcription factor,foxo transcription factor
cdkn2a,hist1h4d
k-ras oncogene,k-ras oncogene
mcl-1,thph12
chronic pancreatitis,chronic pancreatitis
gastro,gastro
mek,mapkk7
e-cadherin protein,e-cadherin protein
caspase-9,caspase-9
trypsinogen gene,trypsinogen gene
ecm,gpia*
a-disintegrin and metalloproteinase (adam) protein family,a-disintegrin and metalloproteinase (adam) protein family
cytochrome c,cytochrome c
exocrine pancreas,exocrine pancreas
fancg,fancg
brca2 protein,brca2 protein
psti,pctt
smad4 protein,smad4 protein
map3k,map3k
map2k,map2k
pancreatic duct,pancreatic duct
cyclin d1,cyclin d1
akt2 oncogene,akt2 oncogene
tumor necrosis factor,tumor necrosis factor
hereditary disorders,hereditary disorders
smad2,jv18
mitogen-activated protein kinase kinase 4,mitogen-activated protein kinase kinase 4
brca2 region,brca2 region
intestinal tract,intestinal tract
chemoradiation,chemoradiation
dpc4 gene,dpc4 gene
organ,organ
adam9,mcmpmltna
tract,tract
k-ras,ki-ras
intestine,intestine
pancreatic,pancreatic
sel10,fbxw6
p38,hld17
cyclin d,cyclin d
mapk,mapk
fbxw7,fbxw6
jnk,mapk8
bcl-x(l),bcl-x(l)
hereditary pancreatitis,hereditary pancreatitis
brca2 6174delt,brca2 6174delt
pan,ada2
acute pancreatitis,acute pancreatitis
blind,blind
spink1,pctt
cdc4,fbxw6
pancreatitis,pancreatitis
map kinases,map kinases
p53 tumour suppressor gene,p53 tumour suppressor gene
metalloproteinase,metalloproteinase
alpha-and beta-catenins,alpha-and beta-catenins
mapk kinase,mapk kinase
bcl2,bcl-2
group b,group b
raf protein,raf protein
cystic,cystic
smad4,madh4
map2k4,serk1
interleukin-1,interleukin-1
mmr proteins,mmr proteins
wild-type k-ras,wild-type k-ras
e-cadherin,e-cadherin
mutations and homozygous deletions of the p16,mutations and homozygous deletions of the p16
protein kinase ciota,protein kinase ciota
map2k kinase,map2k kinase
p15,mrp-l28
colon,colon
mkk4,serk1
dpc4,madh4
fancc,facc
bcl-2,bcl-2
fbw7,fbxw6
pancreas,pancreas
genetic disease,genetic disease
mts1,hist1h4d
matrix metalloproteinase 7,matrix metalloproteinase 7
mutant c-k-ras genes,mutant c-k-ras genes
interleukin 1,interleukin 1
c-myc,myc
mapk target genes,mapk target genes
the syndrome,the syndrome
methylthioadenosine phosphorylase,methylthioadenosine phosphorylase
tracts,tracts
ago,fbxw6
protein kinase c iota,protein kinase c iota
wnt2b,xwnt2
c-jun n-terminal kinase,c-jun n-terminal kinase
mitogen-activated protein kinase,mitogen-activated protein kinase
phosphatidylinositol 3-kinase,phosphatidylinositol 3-kinase
wnt5a,wnt5a
braf,b-raf
mekk-1,mekk-1
brca2 gene,brca2 gene
ink4a,hist1h4d
palb2,flj21816
erk,haha1
mmr,mmr
insulin-like growth factor ii precursor gene,insulin-like growth factor ii precursor gene
shc binding site tyrosine residue,shc binding site tyrosine residue
insulin gene family,insulin gene family
gastric,gastric
mutant egfr meet met,mutant egfr meet met
erbb3 protein,erbb3 protein
epidermal growth factor receptor-activating mutations,epidermal growth factor receptor-activating mutations
phosphatidylinositol 3’-kinase,phosphatidylinositol 3’-kinase
egfr tyrosine kinase,egfr tyrosine kinase
anti-epidermal growth factor receptor,anti-epidermal growth factor receptor
c-src,thc6
her-family tyrosine kinase,her-family tyrosine kinase
neu,neur1
kras gene,kras gene
erbb3,ferlk
egf,egf
tyrosine kinase receptor,tyrosine kinase receptor
phosphoinositide 3-kinase,phosphoinositide 3-kinase
human epidermal growth factor receptor cdna sequence,human epidermal growth factor receptor cdna sequence
her2,sial1
node,node
epidermal growth factor,epidermal growth factor
grb7,grb7
c-erbb3 protein,c-erbb3 protein
tyrosine kinase inhibitor,tyrosine kinase inhibitor
epidermal growth factor receptor-related gene,epidermal growth factor receptor-related gene
met,auts9
erbb-2,erbb-2
her4 receptors,her4 receptors
hrg1,hgl
her3 receptor tyrosine kinase,her3 receptor tyrosine kinase
erbb receptor family,erbb receptor family
mammary,mammary
her3 protein,her3 protein
c-erbb-3 protein,c-erbb-3 protein
phosphatidylinositol 3′-kinase,phosphatidylinositol 3′-kinase
egfr kinase,egfr kinase
src,thc6
insulin-like growth factors i and ii,insulin-like growth factors i and ii
ovarian,ovarian
human epidermal growth factor receptors,human epidermal growth factor receptors
p85 regulatory subunit,p85 regulatory subunit
egf receptor proteins,egf receptor proteins
v-erb-b oncogene protein sequences,v-erb-b oncogene protein sequences
her receptor,her receptor
c-erbb-3 binding sites,c-erbb-3 binding sites
her4,hnrpa1
her2 kinase,her2 kinase
erbb3 gene product,erbb3 gene product
her3,ferlk
egfr gene,egfr gene
erbb3 receptor,erbb3 receptor
pi3 k,pi3 k
erbb4,hnrpa1
relapse,relapse
egf family/erbb receptor family,egf family/erbb receptor family
neu oncogene,neu oncogene
transmembrane tyrosine kinase receptors,transmembrane tyrosine kinase receptors
erbb-receptor kinase family,erbb-receptor kinase family
protein tyrosine kinase homology domain of the erbb3 (her3) receptor protein,protein tyrosine kinase homology domain of the erbb3 (her3) receptor protein
epidermal growth factor-related proteins,epidermal growth factor-related proteins
alk,cd246
uveal,uveal
bladder,bladder
oncogenic receptor tyrosine kinase,oncogenic receptor tyrosine kinase
her-2,sial1
c-erbb-3,ferlk
erbb3 antibody,erbb3 antibody
grb2,grb3-3
mmac1,glm2
anti-her3 antibody,anti-her3 antibody
chimera,chimera
erbb2,sial1
her kinase axis receptor dimer,her kinase axis receptor dimer
epidermal growth factor receptor family,epidermal growth factor receptor family
transforming growth factor alpha,transforming growth factor alpha
protein kinase gene family,protein kinase gene family
salivary gland,salivary gland
erbb3 kinase domain mutations,erbb3 kinase domain mutations
egf receptor,egf receptor
c-erbb proto-oncogene family members,c-erbb proto-oncogene family members
erbb receptor,erbb receptor
wave1,aoa2
abl kinase,abl kinase
ced-10 rac,ced-10 rac
crkii,mapk14
c-cbl,cbl
ced-6,gulp1
ca sz es meh,ca sz es meh
sli-1 cbl,sli-1 cbl
rho gtpases,rho gtpases
ca,ca
rho,rhod
ca sz meh,ca sz meh
argbp2,sorbs2
c-abl,pik3r4
tyrosine kinase,tyrosine kinase
slap,slap
let-60 ras,let-60 ras
cytoskeletal regulator abl-1,cytoskeletal regulator abl-1
tkb domain,tkb domain
vav,vav
ced-10,ced-10
abi2,hp95
cbl n-terminus,cbl n-terminus
cbl phosphotyrosine recognition motif,cbl phosphotyrosine recognition motif
phosphoinositide phosphatase mtm-1,phosphoinositide phosphatase mtm-1
ubiquitin ligase,ubiquitin ligase
roundworm,roundworm
rho family,rho family
e3 ubiquitin ligase,e3 ubiquitin ligase
ced-1,ced-1
heterodimeric guanine nucleotide exchange factor ced-5/ced-12,heterodimeric guanine nucleotide exchange factor ced-5/ced-12
wasp-family protein,wasp-family protein
tif,rek
let-23 egfr/let-60 ras,let-23 egfr/let-60 ras
ced-2,ced-2
swan-1,an11
scar,psmc1
zap-70 kinase,zap-70 kinase
defect,defect
rhogap srgp-1,rhogap srgp-1
sli-1 homolog cbl,sli-1 homolog cbl
small gtpase ced-10 rac,small gtpase ced-10 rac
rac-gef,rac-gef
syk family kinase,syk family kinase
abl,hscp30
tula,clip4
pharynx,pharynx
dock180–elmo complex,dock180–elmo complex
rhog,rhog
neurodegenerative disease,neurodegenerative disease
ced-7,ced-7
dynamin,dynamin
trio-mig-2,trio-mig-2
ubiquitin,ubiquitin
cbl family proteins,cbl family proteins
rac,cakb
ced-10 homolog rac,ced-10 homolog rac
let-23 protein,let-23 protein
tyrosine kinase syk,tyrosine kinase syk
digital,digital
alpha and beta tubulin,alpha and beta tubulin
gonads,gonads
cbl,cbl
ca sz hrh meh,ca sz hrh meh
aps,klk3
insulin,insulin
abl-1,abl-1
sli-1,sli-1
wave,aoa2
cytoskeletal regulatory protein abi-1,cytoskeletal regulatory protein abi-1
dic,slc25a10
nck,nck1
ced-2-related protein,ced-2-related protein
fed,fed
n-terminal tyrosine kinase binding domain,n-terminal tyrosine kinase binding domain
t cell receptor,t cell receptor
v-abl,pik3r4
ca sz es hrh meh,ca sz es hrh meh
helix,ospl
matrix-metalloproteinase-9,matrix-metalloproteinase-9
bbb,bbb
infection,infection
anti-mouse monoclonal antibodies iκb-α,anti-mouse monoclonal antibodies iκb-α
nm,clone-23970
synergistic upregulation of metalloproteinase-9,synergistic upregulation of metalloproteinase-9
matrix metalloproteinase-12,matrix metalloproteinase-12
nk-1r,nk-1r
dura mater,dura mater
hrp-conjugated anti-goat igg,hrp-conjugated anti-goat igg
claudin-5,claudin-5
tail,tail
tnf-alpha,dif
protein p-p65,protein p-p65
liver,liver
choroid plexus,choroid plexus
rat lung,rat lung
goat anti-mouse claudin-5 polyclonal antibody,goat anti-mouse claudin-5 polyclonal antibody
horseradish peroxidase,horseradish peroxidase
hrp-conjugated anti-mouse igg,hrp-conjugated anti-mouse igg
blood-brain barrier,blood-brain barrier
sds,bvvls2
hiv-1 envelope glycoprotein gp120,hiv-1 envelope glycoprotein gp120
mouse anti-mouse β,mouse anti-mouse β
capillary,capillary
matrix metalloproteinase-9,matrix metalloproteinase-9
meningoencephalitis,meningoencephalitis
mi,shep3
occludin,occludin
mmp-9,gelb
"claudin-1, -2","claudin-1, -2"
sp,sml1
angiostrongyliasis,angiostrongyliasis
claudin-1 and -2,claudin-1 and -2
toxocariasis,toxocariasis
cerebral amyloid angiopathy,cerebral amyloid angiopathy
vein,vein
matrix metalloproteinase,matrix metalloproteinase
cerebral,cerebral
rat brain,rat brain
brains,brains
protein kinase c,protein kinase c
eosinophilia,eosinophilia
blood-csf,blood-csf
muscles,muscles
hiv,hiv
gp120,ihrp
acute liver failure,acute liver failure
plasminogen activators,plasminogen activators
ma,mgau
hiv-1 tat protein,hiv-1 tat protein
tight junction protein,tight junction protein
skin of neck,skin of neck
claudin-5 protein,claudin-5 protein
p65,p65
layers,layers
eosinophilic meningitis,eosinophilic meningitis
folliculin,folliculin
rnase-deleted mutant of ire1α,rnase-deleted mutant of ire1α
rnase domain,rnase domain
branch of,branch of
atherosclerosis,atherosclerosis
er chaperones,er chaperones
jnk-dn,jnk-dn
thyroid,thyroid
bhd gene product,bhd gene product
er,estrr
ire1–jnk,ire1–jnk
rnase and kinase,rnase and kinase
map4k3,map4k3
raptor,kiaa1303
ire1–xbp1,ire1–xbp1
reticulum,reticulum
md,md
gibco-brl,gibco-brl
thyroid peroxidase,thyroid peroxidase
mrs,def1
catalase,catalase
jnk1,mapk8
eif4e-binding protein,eif4e-binding protein
hand,hand
nuclear xbp1,nuclear xbp1
atf6,atf6a
caspase-3,caspase-3
ros,ros
organs,organs
ire1α kinase,ire1α kinase
renal,renal
regulatory associated protein of mtor,regulatory associated protein of mtor
ns,ki-ras
xbp1(s),xbp1(s)
ask1,ask1
bcl-2 family proteins,bcl-2 family proteins
cd,gse
mtorc1–ire1,mtorc1–ire1
bad,bbc2
ire1,ire1a
mlst8,lst8
uv light and ha-ras,uv light and ha-ras
va,cpox
proapoptotic bcl-2 family protein,proapoptotic bcl-2 family protein
perk–eif2α,perk–eif2α
c-jun,slc39a3
kidney,kidney
tor,rorc
mk,dsmax
ire1α rnase,ire1α rnase
fbs,fbx8
rnase,rnase
renal cortex,renal cortex
tsc2,tsc4
kidneys,kidneys
mammalian target of rapamycin complex 1,mammalian target of rapamycin complex 1
perk,sqt2
xbp1,xbp1p1
ire1α rnase domain,ire1α rnase domain
ham,ham
testes,testes
xbp1-dn,xbp1-dn
ribosomal p70s6 kinase,ribosomal p70s6 kinase
p21-activated kinase 1,p21-activated kinase 1
p53-binding protein 1,p53-binding protein 1
green-fluorescent protein,green-fluorescent protein
lc8/dynll hub protein,lc8/dynll hub protein
gulp,gulp1
8-kda dynein light chain,8-kda dynein light chain
cyclin-dependent kinase 2,cyclin-dependent kinase 2
full-length dlc-1,full-length dlc-1
caenorhabditis elegans p53,caenorhabditis elegans p53
bcl-2 family member,bcl-2 family member
cytoplasmic dyneins,cytoplasmic dyneins
bio-rad,bio-rad
dynein light chain 1,dynein light chain 1
iscript cdna synthesis kit,iscript cdna synthesis kit
dlc-1,dncl1
cytoplasmic dynein,cytoplasmic dynein
gonad,gonad
snx9-family members,snx9-family members
lrp,lrp
dynein light chain lc8,dynein light chain lc8
piwi,ct80.1
eph receptor,eph receptor
8-kda dynein light chain 1,8-kda dynein light chain 1
vascular cell adhesion molecule 1,vascular cell adhesion molecule 1
myocardial ischemia,myocardial ischemia
interferon-gamma,interferon-gamma
prolyl isomerase,prolyl isomerase
interleukin-8,interleukin-8
vascular disease,vascular disease
gag,gag
amyotrophic lateral sclerosis,amyotrophic lateral sclerosis
alveolar,alveolar
neurodegenerative diseases,neurodegenerative diseases
hepatitis c,hepatitis c
acute coronary syndromes,acute coronary syndromes
endothelial nitric oxide synthase,endothelial nitric oxide synthase
nuclear factor kappa b,nuclear factor kappa b
spinal cord,spinal cord
mutant superoxide dismutase-1linked,mutant superoxide dismutase-1linked
serum cyclophilin,serum cyclophilin
extracellular cyclophilin a,extracellular cyclophilin a
cxcr4,lap-3
cypa receptors,cypa receptors
aaa,cdn
asthma,asthma
cytoplasmic cyclosporin a-binding protein,cytoplasmic cyclosporin a-binding protein
sod1,sod
malaria,malaria
cyclophilin a,cyclophilin a
cyp isoforms,cyp isoforms
cu/zn superoxide dismutase,cu/zn superoxide dismutase
cardiac,cardiac
kruppel-like factor 2,kruppel-like factor 2
vesicular stomatitis,vesicular stomatitis
rheumatoid arthritis,rheumatoid arthritis
ifn-i,ifn-i
ang ii,ang ii
erk1,hs44kdap
vessel,vessel
neutrophil migration,neutrophil migration
ninaa gene,ninaa gene
abdominal aortic aneurysms,abdominal aortic aneurysms
influenza a virus m1 protein,influenza a virus m1 protein
ra,ra
influenza,influenza
flt3 ligand,flt3 ligand
nef,s100
matrix protein 1,matrix protein 1
vcam-1,vcam-1
lrp1,lambr
anti-cd147,anti-cd147
platelet proteins,platelet proteins
alzheimer's disease,alzheimer's disease
csa,mthsp75
cypa,cyph
hepatitis c virus ns5a protein,hepatitis c virus ns5a protein
condition,condition
peg ifnalpha2a,peg ifnalpha2a
sepsis,sepsis
type 2 diabetes,type 2 diabetes
human cyclophilin a,human cyclophilin a
acute renal failure,acute renal failure
cyclophilin receptor cd147,cyclophilin receptor cd147
peptidyl prolyl cis-trans isomerase,peptidyl prolyl cis-trans isomerase
apolipoprotein e,apolipoprotein e
bone destruction,bone destruction
aneurysms,aneurysms
periodontitis,periodontitis
aortic aneurysms,aortic aneurysms
marrow,marrow
cardiac diseases,cardiac diseases
multidrug resistance-associated protein,multidrug resistance-associated protein
lung inflammation,lung inflammation
insulin receptors,insulin receptors
maleylacetoacetate isomerase,maleylacetoacetate isomerase
erk1/2,erk1/2
host ifn-i,host ifn-i
vaccinia,vaccinia
hepatitis b virus subviral envelope particle morphogenesis,hepatitis b virus subviral envelope particle morphogenesis
serum cypa,serum cypa
cyclophilin,cyclophilin
peptidyl-prolyl cis-trans-isomerase,peptidyl-prolyl cis-trans-isomerase
inflammatory disease,inflammatory disease
v3 loop of human immunodeficiency virus type-1 envelope protein,v3 loop of human immunodeficiency virus type-1 envelope protein
superoxide dismutase-1,superoxide dismutase-1
bone,bone
nuclear ribonucleoprotein a2,nuclear ribonucleoprotein a2
cyclophilin a peptidyl-prolyl isomerase,cyclophilin a peptidyl-prolyl isomerase
arterial,arterial
severe sepsis,severe sepsis
antioxidant enzyme gene,antioxidant enzyme gene
cyclooxygenase-2,cyclooxygenase-2
abdominal aortic aneurysm,abdominal aortic aneurysm
e-selectin,e-selectin
zpr1,znf259
tumor necrosis factor alpha,tumor necrosis factor alpha
coronary artery disease,coronary artery disease
als,sod
hbv,hbv
cyclophilin a gene,cyclophilin a gene
mt1-mmp,wnchrs
peptidyl prolyl isomerase a,peptidyl prolyl isomerase a
extracellular signal-regulated kinase 1/2,extracellular signal-regulated kinase 1/2
cytokine receptor gamma-chain,cytokine receptor gamma-chain
cerebral hypoxia-ischemia,cerebral hypoxia-ischemia
aneurysm,aneurysm
p53 protein,p53 protein
glutathione transferase zeta,glutathione transferase zeta
cd147,emmprin
alzheimer disease,alzheimer disease
arthritis,arthritis
m-csf,csf-1
cypa knockdown,cypa knockdown
virus infection,virus infection
sars,nedmas
glutathione transferase zeta 1,glutathione transferase zeta 1
cardiovascular diseases,cardiovascular diseases
arterial wall,arterial wall
hepatitis b,hepatitis b
rat liver,rat liver
interleukin,interleukin
severe acute respiratory syndrome,severe acute respiratory syndrome
interferon-alpha,interferon-alpha
immunophilin family,immunophilin family
plasma cyclophilin a,plasma cyclophilin a
hbv surface antigen,hbv surface antigen
"fructose-1,6-bisphosphatase","fructose-1,6-bisphosphatase"
angiotensin ii,angiotensin ii
asialoglycoprotein receptor,asialoglycoprotein receptor
aids,aids
chronic hepatitis b,chronic hepatitis b
hif1,hif-1alpha
human monocyte thp-1,human monocyte thp-1
hypothalamic,hypothalamic
t-cell transcription factor,t-cell transcription factor
ccr5-binding cyclophilin,ccr5-binding cyclophilin
manganese-superoxide dismutase,manganese-superoxide dismutase
familial amyotrophic lateral sclerosis,familial amyotrophic lateral sclerosis
transferrin,transferrin
cyclophilin a cotranslocate,cyclophilin a cotranslocate
p70s6 kinase,p70s6 kinase
pituitary adenylate cyclase-activating polypeptide,pituitary adenylate cyclase-activating polypeptide
igf-i,igf1a
smad5,dwfc
homeodomain transcription factor,homeodomain transcription factor
pituitary,pituitary
genetic disorder,genetic disorder
p-s6k,p-s6k
engrailed 2,engrailed 2
pax genes,pax genes
zic2,hpe5
mecp2,brx1
lobule,lobule
cortical,cortical
receptor tyrosine kinase,receptor tyrosine kinase
murine homologues of drosophila segment polarity genes,murine homologues of drosophila segment polarity genes
trkb receptors,trkb receptors
cyfip2,dee65
nuclear cyclin-dependent kinase,nuclear cyclin-dependent kinase
homeobox gene,homeobox gene
cerebellar dysfunction,cerebellar dysfunction
en2,en2
map1b promoter,map1b promoter
zic1,zic1
engrailed-2,engrailed-2
mib-5,mib-5
mtor complex 1 family,mtor complex 1 family
insulin-like growth factors,insulin-like growth factors
bmp2,alk-6
adenylate cyclase,adenylate cyclase
neuropilin-1,neuropilin-1
rett syndrome,rett syndrome
igf1r,jtk13
eif4e,eif-4e
cerebellar cortex,cerebellar cortex
tailed,tailed
p27,p24g3
asd-associated gene,asd-associated gene
pacap type i receptor,pacap type i receptor
histone mrna,histone mrna
ki-67,ki-67
midbrain–hindbrain,midbrain–hindbrain
p7 ko,p7 ko
insulin-like growth factor-i,insulin-like growth factor-i
tyrosine-kinase receptor,tyrosine-kinase receptor
engrailed homeobox 2,engrailed homeobox 2
inferior olive,inferior olive
vasoactive intestinal peptide,vasoactive intestinal peptide
"homeobox transcription factor, engrailed 2","homeobox transcription factor, engrailed 2"
igf1 receptor,igf1 receptor
chicken engrailed genes,chicken engrailed genes
foxa2,hnf-3-beta
insulin-like growth factor 1,insulin-like growth factor 1
engrailed homeobox genes,engrailed homeobox genes
asd,arsd
bfgf,bfgf
cerebrospinal fluid insulin-like growth factors igf-1,cerebrospinal fluid insulin-like growth factors igf-1
homeobox transcription factor gene engrailed 2,homeobox transcription factor gene engrailed 2
obesity,obesity
en-1,en-1
proto-oncogene int-1,proto-oncogene int-1
gene en-2,gene en-2
dm,dm
cdk2,hist1h4d
irs-1 ser-1101,irs-1 ser-1101
hippocampal,hippocampal
purkinje cell tsc1 mutant,purkinje cell tsc1 mutant
insulin-like growth factor i,insulin-like growth factor i
rp58,mrd22
vermis,vermis
gli genes,gli genes
engrailed 2 gene,engrailed 2 gene
rett syndrome-like symptoms,rett syndrome-like symptoms
znf238,mrd22
igf binding protein-5 gene,igf binding protein-5 gene
eif4b,eif4b
sem,sem
atf5,atf5
insulin-like growth factor-1,insulin-like growth factor-1
corpus callosum,corpus callosum
pdk1,pdk1
emx2,emx2
phosphatidylinositol-3-kinase,phosphatidylinositol-3-kinase
4e-bp1,eif4ebp1
engrailed genes,engrailed genes
p57kip2,ib291
homeobox transcription factor,homeobox transcription factor
igf1,igf1a
pacap,mzb1
engrailed-2 mutant,engrailed-2 mutant
cold,cold
glycogen synthase kinase 3beta,glycogen synthase kinase 3beta
cerebellar hemisphere,cerebellar hemisphere
engrailed,engrailed
stripe gene,stripe gene
cortex,cortex
en-2,en-2
drs,srpx1
eukaryotic translation initiation factor 4e,eukaryotic translation initiation factor 4e
forebrain,forebrain
adenylate cyclase-activating polypeptide,adenylate cyclase-activating polypeptide
igf-1,igf-1
fragile x syndrome,fragile x syndrome
atoh1,math-1
pka,pka
engrailed-2 mutants,engrailed-2 mutants
pontine nuclei,pontine nuclei
p7 wt,p7 wt
pcna,atld2
lipocalin 2,lipocalin 2
lipocalin-2,lipocalin-2
mcm2-7 double hexamers,mcm2-7 double hexamers
dna-dependent protein kinase,dna-dependent protein kinase
atrip,mgc21482
cyclin-dependent kinases,cyclin-dependent kinases
cdc25 family,cdc25 family
atm kinase,atm kinase
topbp1-interacting protein,topbp1-interacting protein
mrc1,mmr
ataxia telangiectasia,ataxia telangiectasia
cdc2,pold
dna primase,dna primase
atm protein,atm protein
rad9-hus1-rad1,rad9-hus1-rad1
mre11 complex,mre11 complex
rad9,rad9a
escs,nr2e3
hrad17-replication factor c complex,hrad17-replication factor c complex
mcm2-7-related helicase mcm8,mcm2-7-related helicase mcm8
rad1,ercc4
mcm2-8 protein family,mcm2-8 protein family
drf1,scbms
yeast dna polymerase epsilon,yeast dna polymerase epsilon
pcna-interacting proteins,pcna-interacting proteins
retinoblastoma protein,retinoblastoma protein
rpa,rpa
proliferating cell nuclear antigen,proliferating cell nuclear antigen
g1-cyclins,g1-cyclins
cdc25 a phosphatase,cdc25 a phosphatase
cyclin-dependent kinase,cyclin-dependent kinase
atr-interacting protein,atr-interacting protein
cdc25 phosphatases,cdc25 phosphatases
human mcm2-7 proteins,human mcm2-7 proteins
cdc25 a,cdc25 a
tipin-replication protein a,tipin-replication protein a
rad9 s,rad9 s
cyclin b-p34cdc2 kinase,cyclin b-p34cdc2 kinase
rpa32,rpa135
mcm helicase,mcm helicase
chk1,chk1
atr activation via topbp1,atr activation via topbp1
dna polymerases,dna polymerases
human cdc25a,human cdc25a
atpase,hdhc9
claspin,claspin
phosphatidylinositol-3-oh kinase,phosphatidylinositol-3-oh kinase
bach1,bach-1
tipin proteins,tipin proteins
mcm9,dj329l24.3
dbf4,ask
rad17 complexes,rad17 complexes
tel1,agtr1b
dna polymerase α,dna polymerase α
brca1,brcc1
human dna primase-polymerase,human dna primase-polymerase
mcm8-mcm9 complex,mcm8-mcm9 complex
chk1-regulatory protein,chk1-regulatory protein
replication protein a,replication protein a
ccdc111,myp22
mcm8,mcm8
nbs1,flj20510
kinase-dead atm protein,kinase-dead atm protein
re,re
atr targets,atr targets
rad17,rad24
ape2,xth2
human claspin,human claspin
human mcm protein family,human mcm protein family
primase/polymerase,primase/polymerase
cdc6,cdc18l
dna topoisomerases,dna topoisomerases
topbp1,topbp1
dna-pk,dna-pk
mammalian cell fusions,mammalian cell fusions
cdc7,hucdc7
cyclin e,cyclin e
arc,ofq
treslin,flj41618
dna polymerase,dna polymerase
mre11,hmre11b
tipin,flj20516
dna polymerase alpha,dna polymerase alpha
rlf-b,rlf-b
rpa and dna polymerases,rpa and dna polymerases
parp-1,parp7
mcm2-7,mcm2-7
stretches,stretches
human cdt1,human cdt1
cip/kip cdk,cip/kip cdk
poly (adp-ribose) polymerase-1,poly (adp-ribose) polymerase-1
pol,c187-23
dub3,usp17l
cdk1,pold
translesion dna polymerases,translesion dna polymerases
timeless,tim-1
cellular replication protein a,cellular replication protein a
atm,agtr1b
mre11-rad50-nbs1,mre11-rad50-nbs1
cyclin,cyclin
helicase,hfm1
dna polymerase kappa,dna polymerase kappa
