Gene,Reference
"fructose - 1, 6 - bisphosphatase","fructose - 1, 6 - bisphosphatase"
asialoglycoprotein receptor,asialoglycoprotein receptor
peptidyl - prolyl cis - trans - isomerase cyclosporin a,peptidyl - prolyl cis - trans - isomerase cyclosporin a
collagen,collagen
cyclophilins,cyclophilins
cd147,emmprin
cyclophilin,cyclophilin
transferrin,transferrin
pax genes,pax genes
engrailed - 2 mutants,engrailed - 2 mutants
homeo box - containing gene,homeo box - containing gene
engrailed 2 gene,engrailed 2 gene
en - 2,en - 2
homeobox transcription factor,homeobox transcription factor
engrailed homeobox genes,engrailed homeobox genes
engrailed homeobox 2,engrailed homeobox 2
homeo box - containing genes,homeo box - containing genes
engrailed,engrailed
en2,en2
en - 2 homeobox,en - 2 homeobox
en -,en -
engrailed - 2,engrailed - 2
wnt,wnt
homeobox transcription factor gene engrailed 2,homeobox transcription factor gene engrailed 2
engrailed 2,engrailed 2
muc4,muc4
her2,sial1
lipocalin - 2,lipocalin - 2
akt,cakb
luciferase reporter,luciferase reporter
lipocalin 2,lipocalin 2
cdc7,hucdc7
rad51,hrad51
gins complex,gins complex
mcm double - hexamer,mcm double - hexamer
mcm2 - 7 helicase,mcm2 - 7 helicase
dna replicative helicases,dna replicative helicases
dna polymerase alpha,dna polymerase alpha
gins,gins
mcm9,dj329l24.3
dbf4,ask
orc,orc
cdc45,porc-pi-1
geminin,geminin
mcm8,mcm8
mcm2 - 8,mcm2 - 8
mcm2 - 7 complex,mcm2 - 7 complex
cdt1,hdm2
mcm2 - 7,mcm2 - 7
rpa,rpa
rlf - b,rlf - b
cdc6,cdc18l
mcm2 - 7 double hexamers,mcm2 - 7 double hexamers
ifn - β,ifn - β
myb,cmyb
myeloid differentiation factor 88,myeloid differentiation factor 88
myd88,myd88
nk1.,nk1.
tlr4,armd10
toll - like receptors,toll - like receptors
ifn - γ,ifn - γ
tlr,tlr
trif,iiae6
interleukin 4,interleukin 4
tgf - β,tgf - β
interleukin - 18,interleukin - 18
nlrp3,ifrc
toll - like receptor,toll - like receptor
il - 18,il - 18
p38,hld17
lamin b1,lamin b1
secretory clusterin,secretory clusterin
atm protein kinase,atm protein kinase
apolipoprotein j,apolipoprotein j
linchpin,linchpin
sclu,sclu
pot1,cmm10
bax,bcl2l4
p21,tceal1
insulin - like growth factor 1,insulin - like growth factor 1
atr,sckl
matrix metalloproteinase,matrix metalloproteinase
atm,agtr1b
trf2,h6limo
cip1,neep21
subcytotoxic h,subcytotoxic h
igf - 1,igf - 1
clusterin,clusterin
hif1α,hif1α
foxo1,foxo1a
sirt1,sir2alpha
hif2alpha,hif2alpha
mhc ii,mhc ii
cgi - 58,cgi - 58
insulin,insulin
parathyroid hormone - related protein,parathyroid hormone - related protein
alpha1ampk,alpha1ampk
il - 1beta,il - 1beta
hif - 1alpha,hif - 1alpha
socs3,ssi-3
adipokines,adipokines
hypoxia - inducible factor - 1alpha,hypoxia - inducible factor - 1alpha
vegf,vegf
hif1alpha,hif1alpha
il - 13,il - 13
hypoxia - inducible factor 1alpha,hypoxia - inducible factor 1alpha
ikkbeta,ikkbeta
glucagon - like peptide -,glucagon - like peptide -
macrophage alpha1 amp - activated protein kinase,macrophage alpha1 amp - activated protein kinase
tgf - beta,tgf - beta
stathmin,stathmin
interleukin - 6,interleukin - 6
signal transducer and activator of transcription ( stat ) 3,signal transducer and activator of transcription ( stat ) 3
signal transducer and activator of transcription 3,signal transducer and activator of transcription 3
stat3,hies
lrk - 1,lrk - 1
lrrk2 lrrk2 kinase,lrrk2 lrrk2 kinase
parkinson disease leucine - rich repeat kinase 2,parkinson disease leucine - rich repeat kinase 2
parkin,pdj
parkinson ’ s,parkinson ’ s
park8,dkfzp434h2111
familial parkinsonism gene,familial parkinsonism gene
pink1,pink1
lrrk2,dkfzp434h2111
moesin,moesin
leucine - rich repeat kinase 2,leucine - rich repeat kinase 2
c - abl,c - abl
lrrk2 gtp binding,lrrk2 gtp binding
inhibitors of leucine - rich repeat kinase - 2,inhibitors of leucine - rich repeat kinase - 2
gtpase domain,gtpase domain
mutant leucine - rich repeat kinase 2,mutant leucine - rich repeat kinase 2
sterol regulatory element binding protein - 1c,sterol regulatory element binding protein - 1c
angiotensin i - converting enzyme,angiotensin i - converting enzyme
liver x receptor - alpha,liver x receptor - alpha
p38 mapk,p38 mapk
liver x receptor - α,liver x receptor - α
at1,atiii-t1
at1r,agtr1b
p38 mitogen - activated protein kinase,p38 mitogen - activated protein kinase
leptin,leptin
ace,flj31638
p38 map,p38 map
angiotensin,angiotensin
renin,renin
angiotensin - ( 1 - 7 ),angiotensin - ( 1 - 7 )
extracellular signal - regulated kinase 1 / 2,extracellular signal - regulated kinase 1 / 2
atrap angiotensin ii type - 1 receptor,atrap angiotensin ii type - 1 receptor
angiotensin ii,angiotensin ii
lxrα,lxrα
mitogen - 1 activated protein kinase,mitogen - 1 activated protein kinase
angiotension ii,angiotension ii
ace2,ace2
cardiac renin,cardiac renin
erk,haha1
anti - tgf - beta,anti - tgf - beta
ets - 1,ets - 1
transforming growth factor beta,transforming growth factor beta
ep3,ep3-ii
type i collagen gene,type i collagen gene
collagen gene,collagen gene
cathelicidin ll - 37,cathelicidin ll - 37
connective tissue growth factor,connective tissue growth factor
transforming growth factor - beta,transforming growth factor - beta
chemokine receptor 4,chemokine receptor 4
type i and type vii collagen gene,type i and type vii collagen gene
cathelicidin family,cathelicidin family
interleukin - 8,interleukin - 8
ctgf,igfbp8
peptide ll - 37,peptide ll - 37
ets1,h3p43
transcription,transcription
pge2,pge2
p38 map kinases,p38 map kinases
thymosin beta - 4,thymosin beta - 4
ll - 37,ll - 37
lipo - pge1,lipo - pge1
human serotonin transporter gene,human serotonin transporter gene
comt,comt
dopamine d2 receptor gene,dopamine d2 receptor gene
5 - hydroxytryptamine 1a receptor gene,5 - hydroxytryptamine 1a receptor gene
crhr1 gene,crhr1 gene
htr1b,psmd7
neural cell adhesion molecule,neural cell adhesion molecule
g - o,g - o
c - myc,c - myc
c / ebp - beta,c / ebp - beta
tumor necrosis factor - alpha,tumor necrosis factor - alpha
c / ebp - delta e74 - like factor 3,c / ebp - delta e74 - like factor 3
ikappab - zeta,ikappab - zeta
lcn2 gene,lcn2 gene
tumour stroma - derived lipocalin - 2,tumour stroma - derived lipocalin - 2
nf -,nf -
ngal,lcn2
neutrophil gelatinase - associated lipocalin,neutrophil gelatinase - associated lipocalin
nuclear factor - muc4,nuclear factor - muc4
acute,acute
interleukin - 17,interleukin - 17
neutrophil gelatinase associated lipocalin,neutrophil gelatinase associated lipocalin
mmp - 9,mmp - 9
lipocalin - 2 protein,lipocalin - 2 protein
ochratoxin a,ochratoxin a
vgll4,vgl-4
cardiac growth large tumor suppressor homologs 1 and 2,cardiac growth large tumor suppressor homologs 1 and 2
yap oncoprotein,yap oncoprotein
cad - 11,cad - 11
gata4,avsd
collagen type ii,collagen type ii
lats1 / 2,lats1 / 2
hippo,hippo
taz,lvncx
laminin receptors,laminin receptors
yap,hcca1
rfn,rex2
usp28,usp28
taz yap,taz yap
β - catenin,β - catenin
yap yap,yap yap
cyclin d1,cyclin d1
pten,glm2
copii,copii
egfr,errp
ccnd1,prad1
pi3k,cst-1
ywhaz,ywhad
tuberin lama2,tuberin lama2
p27,p24g3
cyclin e,cyclin e
estrogen - related receptor α1,estrogen - related receptor α1
pi3 - kinase,pi3 - kinase
sfk,sfk
fibronectin iii - 1 domain,fibronectin iii - 1 domain
trail,tl2
type iv collagen,type iv collagen
extracellular signal - regulated kinase,extracellular signal - regulated kinase
bcrp,ne-dlg
abcc,hdm2
abcg2,ne-dlg
sox2,sox2
ubiquitin,ubiquitin
αv - integrin ss3,αv - integrin ss3
mrp,muc2
laminin,laminin
αvβ5 integrin,αvβ5 integrin
mdr1,kiaa0882
human abcb1,human abcb1
csf - 1r,csf - 1r
fibronectin,fibronectin
cyclin - dependent kinase,cyclin - dependent kinase
ss5 receptor,ss5 receptor
cdh1,fzr2
hedgehog,hedgehog
retinoblastoma,retinoblastoma
p21waf1,p21waf1
tissue transglutaminase - 1,tissue transglutaminase - 1
jagged2,jagged2
sall4,hsal4
notch,notch
notch2,notch2
notch1,hn1
e - cadherin,e - cadherin
sfrp genes,sfrp genes
notch3,cadasil
cyclooxygenase - 2,cyclooxygenase - 2
tp53,lfs1
muc,muc
muc2,muc2
p27kip1,sip2-28
kip1,sip2-28
vhl,trc8
pkcdelta,pkcdelta
focal adhesion kinase tyrosine 861,focal adhesion kinase tyrosine 861
cub - domain containing protein 1,cub - domain containing protein 1
cub domain containing protein,cub domain containing protein
cub domain - containing protein 1,cub domain - containing protein 1
pdgfrβ,pdgfrβ
plasmin,plasmin
gp140,gp140
glycoprotein cdcp1,glycoprotein cdcp1
hif - 2alpha,hif - 2alpha
src substrate,src substrate
pkc { delta },pkc { delta }
src - associated protein cub domain - containing protein - 1,src - associated protein cub domain - containing protein - 1
p80,bun62
src kinases,src kinases
cdcp1,trask
beta1 integrin,beta1 integrin
cub - domain - containing protein 1,cub - domain - containing protein 1
cytochrome p450 family 19 subfamily a member 1,cytochrome p450 family 19 subfamily a member 1
follicle - stimulating hormone,follicle - stimulating hormone
vcam - 1,vcam - 1
luteinizing hormone,luteinizing hormone
cyp19a1,aro1
follicular stimulating hormone,follicular stimulating hormone
follicle - stimulating hormone receptors,follicle - stimulating hormone receptors
a - kinase anchoring protein 95,a - kinase anchoring protein 95
fshr fsh,fshr fsh
fsh,rnf3a
insulin - like growth factor - i,insulin - like growth factor - i
hormone,hormone
ido1,ido
pd - l1,pd - l1
jak,jak
stat,ipip27a
"indoleamine 2, 3 - dioxygenase","indoleamine 2, 3 - dioxygenase"
il - 6,il - 6
"indoleamine 2, 3 - dioxygenase 1","indoleamine 2, 3 - dioxygenase 1"
stim,stim
nox2,gp91phox
stim1,d11s4896e
trp,tyrp
c - fos,c - fos
group v phospholipase a ( 2 ),group v phospholipase a ( 2 )
stromal - interacting molecule 1,stromal - interacting molecule 1
dicer enzyme,dicer enzyme
orai1,orat1
orai,orai
sphingosine kinase - 1,sphingosine kinase - 1
p120 - catenin,p120 - catenin
protein kinase c - alpha,protein kinase c - alpha
c - src tyrosine kinase,c - src tyrosine kinase
tnf - alpha,tnf - alpha
sphingosine -,sphingosine -
ap1,slc39a3
nos isoforms,nos isoforms
nitric oxide synthases,nitric oxide synthases
nos family members,nos family members
nos1,ino1
nos2,ino1
nos3,enos
pyruvate kinase isoenzyme type m2,pyruvate kinase isoenzyme type m2
pkm2,cdk11-p110
pyruvate kinase m2,pyruvate kinase m2
metformin,metformin
rock,rock
trim44,an3
transforming growth factor - beta1,transforming growth factor - beta1
smad,smad
amp kinase,amp kinase
hif - 1,hif - 1
hif,hif
hif - 1α,hif - 1α
bcl2 family,bcl2 family
mcl1,thph12
elk - 1,elk - 1
l,l
bcl - x,bcl - x
glycogen synthase kinase - 3β,glycogen synthase kinase - 3β
mcl - 1,mcl - 1
mek,mapkk7
bak,bak-like
bcl - 2,bcl - 2
osteoprotegerin,osteoprotegerin
rankl,ct134
bone morphogenetic protein - 2,bone morphogenetic protein - 2
rank,cd265
plasminogen,plasminogen
transforming growth factor beta1,transforming growth factor beta1
nadph oxidase,nadph oxidase
opg,pdb5
vegf gene isoforms,vegf gene isoforms
vascular endothelial growth factor,vascular endothelial growth factor
il - 17,il - 17
bmp - 2,bmp - 2
zic2,hpe5
+,+
cd55,cripto-1
gli3,dnai1
human papillomavirus e6 protein,human papillomavirus e6 protein
he,el1
gli1,ppd1
