Gene,Reference
matrixa-disintegrin,matrixa-disintegrin
e-cadherin,e-cadherin
p15,mrp-l28
tgf,tgf
mkk4,serk1
dpc4,madh4
interleukin-1effects,interleukin-1effects
fancc,facc
bcl-2,bcl-2
fbw7,fbxw6
catenins,catenins
mts1,hist1h4d
fanconi anemia genes,fanconi anemia genes
hedgehog ligand,hedgehog ligand
mapk target genes,mapk target genes
methylthioadenosine phosphorylase,methylthioadenosine phosphorylase
ago,fbxw6
wnt2b,xwnt2
nf-oncogenic k-ras,nf-oncogenic k-ras
c-jun n-terminal kinase,c-jun n-terminal kinase
mitogen-activated protein kinase,mitogen-activated protein kinase
tumor suppressork-ras,tumor suppressork-ras
mismatch repair family,mismatch repair family
mismatch repair genes,mismatch repair genes
phosphatidylinositol 3-kinase,phosphatidylinositol 3-kinase
wnt5a,wnt5a
tumormtor,tumormtor
adam,adam
telomerase,telomerase
tgfmekk-1,tgfmekk-1
brca2 gene,brca2 gene
ink4a,hist1h4d
adam 15 mrna,adam 15 mrna
palb2,flj21816
erk,haha1
mmr,mmr
her receptors,her receptors
her-2/,her-2/
pan-erbb,pan-erbb
erbb3erbb3,erbb3erbb3
insulin gene familyclose,insulin gene familyclose
erbb receptors,erbb receptors
missak,missak
her,her
egfr tyrosine kinase,egfr tyrosine kinase
phosphatidylinositol 3′-,phosphatidylinositol 3′-
anti-epidermal growth factor receptor,anti-epidermal growth factor receptor
tyrosine kinases,tyrosine kinases
heregulin,heregulin
erbb receptorsprognostic,erbb receptorsprognostic
c-src,thc6
tyrosine kinase,tyrosine kinase
cellserbb3,cellserbb3
hers,hers
neu,neur1
rbb2,rbb2
egf,egf
erbb3,ferlk
erbb ligands,erbb ligands
erbb family members,erbb family members
erbb family receptors,erbb family receptors
her2,sial1
egf) receptor,egf) receptor
her-3,her-3
her pair,her pair
epidermal growth factor,epidermal growth factor
grb7,grb7
c-erbb3 protein,c-erbb3 protein
neuregulin,neuregulin
her3 ligands,her3 ligands
met,auts9
erbb members,erbb members
neu oncogenemolecular,neu oncogenemolecular
erbb-2,erbb-2
her4 receptors,her4 receptors
errb3,errb3
hrg1,hgl
erbb3phosphotyrosine,erbb3phosphotyrosine
sitide 3-kinasethe,sitide 3-kinasethe
her3 receptor tyrosine kinase,her3 receptor tyrosine kinase
erbb receptor family,erbb receptor family
egfr gene mutations,egfr gene mutations
her family members,her family members
her3 protein,her3 protein
mutant egfr,mutant egfr
her3compensatory,her3compensatory
egfr kinase,egfr kinase
pi3 k,pi3 k
insulin-like growth factors i and ii,insulin-like growth factors i and ii
her family dimers,her family dimers
krashuman,krashuman
human epidermal growth factor receptors,human epidermal growth factor receptors
erbb-receptor kinase familymutation,erbb-receptor kinase familymutation
humanized,humanized
her receptor,her receptor
her4,hnrpa1
erbb3 gene product,erbb3 gene product
mitogen-activated protein kinasetransformation,mitogen-activated protein kinasetransformation
her3,ferlk
her2 kinase,her2 kinase
human epidermal growth factor receptor,human epidermal growth factor receptor
heregulins,heregulins
erbb3 receptor,erbb3 receptor
erbb4,hnrpa1
transforming growth factor alphahuman,transforming growth factor alphahuman
erbb-,erbb-
erbb homo- and heterodimersacademic,erbb homo- and heterodimersacademic
erbb2toward,erbb2toward
erbb3ibc,erbb3ibc
her3 monoclonal antibody,her3 monoclonal antibody
transmembrane tyrosine kinase receptors,transmembrane tyrosine kinase receptors
epidermal growth factor-related proteins,epidermal growth factor-related proteins
nositol 3’-kinase,nositol 3’-kinase
alk,cd246
factor receptor cdna sequence,factor receptor cdna sequence
her2erbb3,her2erbb3
her-2,sial1
oncogenic receptor tyrosine kinase,oncogenic receptor tyrosine kinase
tep,tep
kras gene mutations,kras gene mutations
c-erbb-3,ferlk
erbb3 antibody,erbb3 antibody
grb2,grb3-3
mmac1,glm2
anti-her3 antibody,anti-her3 antibody
epidermal growth factor receptor-related genechanges,epidermal growth factor receptor-related genechanges
shc binding site,shc binding site
her proteins,her proteins
erbb2,sial1
shc,shc
erbb1,errp
her3targeting,her3targeting
epidermal growth factoridentification,epidermal growth factoridentification
her1,errp
protein tyrosine kinase,protein tyrosine kinase
egfrviii,egfrviii
protein kinase gene family,protein kinase gene family
her family,her family
nrg1,hgl
egf family,egf family
epidermal growth factorinsulin-like growth factor ii precursor gene,epidermal growth factorinsulin-like growth factor ii precursor gene
her3erbb3,her3erbb3
her-family,her-family
egf receptor,egf receptor
c-erbb proto-oncogene family members,c-erbb proto-oncogene family members
p85,ppp1r13b
erbb receptor,erbb receptor
her4 protein,her4 protein
pertuzumab,pertuzumab
rtk,rtk
braf,b-raf
erbb3 proteinerbb receptors,erbb3 proteinerbb receptors
v-erb-b oncogene,v-erb-b oncogene
erbb family,erbb family
wave1,aoa2
ced-10 rac,ced-10 rac
crkii,mapk14
tubulin,tubulin
c-cbl,cbl
ced-6,gulp1
gfp,gfp
nckthe,nckthe
60 ras,60 ras
rho,rhod
racmechanism,racmechanism
sh3,sh3
argbp2,sorbs2
let-23,let-23
gfp transgene,gfp transgene
unc-73,unc-73
syk family,syk family
rac proteins,rac proteins
let-60,let-60
tkb domain,tkb domain
vav,vav
ced-10,ced-10
abi2,hp95
cblcbl,cblcbl
adapter protein ced-2,adapter protein ced-2
trio,tgat
cbl n-terminus,cbl n-terminus
ced-12,ced-12a
e3 ubiquitin ligase,e3 ubiquitin ligase
ced-1,ced-1
actin,actin
m02a10,m02a10
aps family,aps family
wasp-family protein,wasp-family protein
dock180,ced5
meh,ephx
small gtpases,small gtpases
ced-2,ced-2
phosphoinositide phosphatase mtm,phosphoinositide phosphatase mtm
swan-1,an11
scar,psmc1
ubiquitinthe,ubiquitinthe
zap-70 kinasethe,zap-70 kinasethe
elmo,elmo
gex-2,gex-2
abl,hscp30
rhog,rhog
let,let
rock,rock
pin mammals,pin mammals
gef,psmd7
syk,imd82
rac1tula,rac1tula
sli-1 homolog,sli-1 homolog
ced-7,ced-7
dynamin,dynamin
n-terminal tkb domain,n-terminal tkb domain
cbl family proteins,cbl family proteins
c-ablgenes,c-ablgenes
rac,cakb
ced-10 homolog rac,ced-10 homolog rac
let-23 protein,let-23 protein
alpha and beta tubulin,alpha and beta tubulin
v-abl,pik3r4
dyn-1,dyn-1
ring,ring
cbl,cbl
mig-2,mgc10966
aps,klk3
heterodimeric guanine nucleotide exchange factor ced-5,heterodimeric guanine nucleotide exchange factor ced-5
insulin,insulin
abl-1,abl-1
sli-1,sli-1
wave,aoa2
cytoskeletal regulatory protein abi-1,cytoskeletal regulatory protein abi-1
gex-3 proteins,gex-3 proteins
abi-1,abi-1
ced-5,ced-5
adapter proteinsslap,adapter proteinsslap
uba-containing protein,uba-containing protein
srgp-1,srgp-1
ced-2-related protein,ced-2-related protein
ubiquitin ligase domain,ubiquitin ligase domain
small gtpase,small gtpase
cbl interactome,cbl interactome
n-terminal tyrosine kinase binding domain,n-terminal tyrosine kinase binding domain
uncation minigene,uncation minigene
cbl family,cbl family
t cell receptor,t cell receptor
rhogap,arhgap1
matrix-metalloproteinase-9,matrix-metalloproteinase-9
csf claudin-5,csf claudin-5
hrp,hrp
brain claudin-5,brain claudin-5
elastin,elastin
claudin-5,claudin-5
tnf-alpha,dif
albumin,albumin
metalloproteinases 2 and 9,metalloproteinases 2 and 9
protein p-p65,protein p-p65
anti-mouse monoclonal,anti-mouse monoclonal
goat anti-mouse claudin-5 polyclonal antibody,goat anti-mouse claudin-5 polyclonal antibody
horseradish peroxidase,horseradish peroxidase
matrix metalloproteinase-9hiv-1,matrix metalloproteinase-9hiv-1
anti-goat igg,anti-goat igg
claudin family,claudin family
anti-mouse igg,anti-mouse igg
hiv-1 envelope glycoprotein gp120,hiv-1 envelope glycoprotein gp120
occludinorganization,occludinorganization
p-p65,p-p65
tight junction,tight junction
matrix metalloproteinase-9,matrix metalloproteinase-9
anti-rabbit igg,anti-rabbit igg
occludin,occludin
mmp-9,gelb
goat anti-mouse albumin polyclonal antibody,goat anti-mouse albumin polyclonal antibody
matrix metalloproteinase (mmp)-9,matrix metalloproteinase (mmp)-9
nf,nf
protease,nr3c3
-csf,-csf
human amyloid precursor protein,human amyloid precursor protein
iκb-α,iκb-α
metalloproteinase-9,metalloproteinase-9
p-iκb-α,p-iκb-α
mmps,mmps
kappa bhiv-1 tat protein,kappa bhiv-1 tat protein
mouse anti-mouse β-actin monoclonal antibody,mouse anti-mouse β-actin monoclonal antibody
β-actin,β-actin
blood-csf,blood-csf
tight junction proteins,tight junction proteins
"claudin-1, -2 and -5","claudin-1, -2 and -5"
gp120,ihrp
plasminogen activators,plasminogen activators
tight junction protein,tight junction protein
p-nf-κb,p-nf-κb
claudin-5 protein,claudin-5 protein
nf-κb,nf-κb
folliculin,folliculin
terminal deoxynucleotidyl transferase,terminal deoxynucleotidyl transferase
"sitsc2 (d, e)","sitsc2 (d, e)"
rnase domain,rnase domain
caspase-3 (i),caspase-3 (i)
p70s6k,p70s6k
jnk-dn,jnk-dn
sictrl,sictrl
er,estrr
phosphorylated jnk (a),phosphorylated jnk (a)
rnase and kinase,rnase and kinase
rapamyci,rapamyci
ire1α,ire1α
p70s6k protein,p70s6k protein
regulatory associated protein of,regulatory associated protein of
raptor,kiaa1303
bh3-only proteinsire1,bh3-only proteinsire1
ire1αδrnase (a–c),ire1αδrnase (a–c)
dutp-biotin,dutp-biotin
lum stressjnk1,lum stressjnk1
endoplasmic reticular bakmap4k3,endoplasmic reticular bakmap4k3
catalase,catalase
jnk1,mapk8
caspase,caspase
erad factors,erad factors
nuclear xbp1,nuclear xbp1
atf6,atf6a
caspase-3,caspase-3
mtorc1,mtorc1
ire1αk599a,ire1αk599a
sitsc2,sitsc2
eif2α,eif2α
c-jun activation domainregulation,c-jun activation domainregulation
ire1α kinase,ire1α kinase
bcl-2 family proteins,bcl-2 family proteins
tunel,tunel
ire1α interactomemitochondrial,ire1α interactomemitochondrial
xbp1(s),xbp1(s)
sitsc2 (b–d),sitsc2 (b–d)
ire1,ire1a
mlst8,lst8
stresstor,stresstor
ha-ras,ha-ras
proapoptotic bcl-2 family protein,proapoptotic bcl-2 family protein
dn,dn
ire1α rnase,ire1α rnase
thyroid peroxidasemenadione,thyroid peroxidasemenadione
binding protein,binding protein
xbp1 (a),xbp1 (a)
procaspase-3,procaspase-3
rnase,rnase
rnase-deleted mutant,rnase-deleted mutant
siraptor,siraptor
tsc2,tsc4
ire1αδrnase,ire1αδrnase
mammalian target of rapamycin complex 1,mammalian target of rapamycin complex 1
perk,sqt2
bh,smc3l1
xbp1,xbp1p1
eif4e,eif-4e
siraptor (a),siraptor (a)
ire1αfine,ire1αfine
xbp1-dn,xbp1-dn
ribosomal p70s6 kinase,ribosomal p70s6 kinase
p21-activated kinase 1,p21-activated kinase 1
dynll,dynll
p53-binding protein 1,p53-binding protein 1
ced-9,ced-9
dynein motor complexp53,dynein motor complexp53
gulp,gulp1
cd91,lambr
8-kda dynein light chain,8-kda dynein light chain
egl-1,egl-1
pmossci,pmossci
cyclin-dependent kinase 2,cyclin-dependent kinase 2
dynein light chain,dynein light chain
apoptotic machinery gene,apoptotic machinery gene
full-length dlc-1,full-length dlc-1
dynein complexes,dynein complexes
bim,smc3l1
dlc,dlc
adaptor,adaptor
paz,paz
human proteomedynein light chain,human proteomedynein light chain
low density lipoprotein receptor-related protein,low density lipoprotein receptor-related protein
bcl-2 family member,bcl-2 family member
dynein,dynein
ced-13,ced-13
ppw-1,ppw-1
cytoplasmic dyneins,cytoplasmic dyneins
betanac,betanac
dynein light chain 1,dynein light chain 1
d bhaumik,d bhaumik
dlc-1,dncl1
kri-1,kri-1
lrp,lrp
snx9-family members,snx9-family members
rde-2,rde-2
lc8,dncl1
piwi,ct80.1
dyneincytoplasmic dynein,dyneincytoplasmic dynein
eph receptor,eph receptor
dyneinthe,dyneinthe
ced-3,ced-3
8-kda dynein light chain 1,8-kda dynein light chain 1
apoptosis-inducing factor,apoptosis-inducing factor
interferon-gamma,interferon-gamma
prolyl isomerase,prolyl isomerase
interleukin-8,interleukin-8
virus m1 protein,virus m1 protein
molecular chaperonescyclophilin,molecular chaperonescyclophilin
maldi-tof mass spectrometrycyclosporin a,maldi-tof mass spectrometrycyclosporin a
hepatitis c virus ns5a proteinhepatitis,hepatitis c virus ns5a proteinhepatitis
gag,gag
bly complexa,bly complexa
mutant superoxide dismutase-1linked,mutant superoxide dismutase-1linked
serum cyclophilin,serum cyclophilin
surface antigen,surface antigen
v3,v3
cxcr4,lap-3
cypa receptors,cypa receptors
cd147 transmembrane domainphosphorylation,cd147 transmembrane domainphosphorylation
endogenous cypa,endogenous cypa
scavenger receptors,scavenger receptors
sion molecule,sion molecule
sod1,sod
hbsag,hbsag
rinterferon type imatrix protein 1hypoxia,rinterferon type imatrix protein 1hypoxia
cyclophilin a,cyclophilin a
cyp isoforms,cyp isoforms
ppia,cyph
fhit,fhit
shbs,shbs
ang ii,ang ii
ifn-i,ifn-i
cyclophilin receptor,cyclophilin receptor
ninaa gene,ninaa gene
tance-associated proteinmicrosomal glutathione glutathione transferase zeta 1atp-binding cassetteapoptosis-inducing factorsuperoxide dismutase-1nuclear factor kappa bnuclear factor from activated t cellspegylated,tance-associated proteinmicrosomal glutathione glutathione transferase zeta 1atp-binding cassetteapoptosis-inducing factorsuperoxide dismutase-1nuclear factor kappa bnuclear factor from activated t cellspegylated
ldl,ldl
6-bisphosphatase,6-bisphosphatase
apoe4,apo-e
flt3 ligand,flt3 ligand
cyps,cyps
hiv-1 vpr,hiv-1 vpr
tight junction and basement membrane proteins,tight junction and basement membrane proteins
vcam-1,vcam-1
clophilin a,clophilin a
lrp1,lambr
anti-cd147,anti-cd147
stomatitis virus new jersey serotypenucleocapsid protein,stomatitis virus new jersey serotypenucleocapsid protein
cyclophylin ,cyclophylin 
nf-kb,nfkb-p105
cypa,cyph
enos,enos
trans-isomerasecyclosporin,trans-isomerasecyclosporin
cyclosporin a-binding protein,cyclosporin a-binding protein
pegylated interferon-alpha,pegylated interferon-alpha
cypa ligand,cypa ligand
apolipoprotein e,apolipoprotein e
sanglifehrin ,sanglifehrin 
cyp,ppig
fructose-1,fructose-1
hif1choi,hif1choi
apoe2,apoe2
phospho-erk1/2,phospho-erk1/2
insulin receptors,insulin receptors
il-8,zap128
erk1/2,erk1/2
immunodeficiency virus type-1 envelope protein,immunodeficiency virus type-1 envelope protein
cyclophilins,cyclophilins
apoe3,apoe3
cd147oxidative,cd147oxidative
p53 proteinoligo,p53 proteinoligo
serum cypa,serum cypa
pifn,pifn
cyclophilin,cyclophilin
elastase,elastase
proliferationcyclophilin a,proliferationcyclophilin a
p85beta subunit,p85beta subunit
cyclooxygenase-2,cyclooxygenase-2
e-selectin,e-selectin
cyclophilinactive,cyclophilinactive
zpr1,znf259
phosphatidylinositol 3-kinaseidentification,phosphatidylinositol 3-kinaseidentification
-density lipoprotein receptor-related protein 1,-density lipoprotein receptor-related protein 1
immunophilins,immunophilins
cyclophilin a gene,cyclophilin a gene
mt1-mmp,wnchrs
peptidyl prolyl isomerase a,peptidyl prolyl isomerase a
cytokine receptor gamma-chain,cytokine receptor gamma-chain
ccr5-binding cyclophilin from toxoplasma gondiipeptidyl-prolyl cis-trans isomerases,ccr5-binding cyclophilin from toxoplasma gondiipeptidyl-prolyl cis-trans isomerases
small surface proteins,small surface proteins
hif1cypa,hif1cypa
e,e
glutathione transferase zeta,glutathione transferase zeta
ifnalpha2a,ifnalpha2a
cd147,emmprin
prolyl isomerasestructures,prolyl isomerasestructures
factor 2tumor necrosis factor alphaviral protein,factor 2tumor necrosis factor alphaviral protein
f-actin,f-actin
common,common
m-csf,csf-1
maleylacetoacetate isomeraseoxidative,maleylacetoacetate isomeraseoxidative
g melinothe,g melinothe
interferon-alphaedited,interferon-alphaedited
vid22p,vid22p
heterogeneous nuclear ribonucleoprotein a2,heterogeneous nuclear ribonucleoprotein a2
immunophilin family,immunophilin family
ecreases,ecreases
angiotensin ii,angiotensin ii
matrix metalloproteinase,matrix metalloproteinase
asialoglycoprotein receptor,asialoglycoprotein receptor
human cyclophilin,human cyclophilin
emmprin,emmprin
t-cell transcription factor,t-cell transcription factor
manganese-superoxide dismutase,manganese-superoxide dismutase
acyclophilin a,acyclophilin a
transferrin,transferrin
cu/zn superoxide dismutase-1,cu/zn superoxide dismutase-1
p70s6 kinase,p70s6 kinase
igf-i,igf1a
insulin-like growth factorsinteractions,insulin-like growth factorsinteractions
smad5,dwfc
fgf,fgf
tsc1 mutant,tsc1 mutant
p-s6k,p-s6k
engrailed 2,engrailed 2
pax genes,pax genes
zic2,hpe5
gli,ppd1
pdk1identification,pdk1identification
fibroblast growth factor,fibroblast growth factor
engrailed-2 mutantsa,engrailed-2 mutantsa
cyfip2,dee65
homeobox 2,homeobox 2
homeobox gene,homeobox gene
bdnf,bdnf-as
enylate cyclase,enylate cyclase
en2,en2
basic fibroblast growth factora,basic fibroblast growth factora
zic1immunolocalization,zic1immunolocalization
map1b promoter,map1b promoter
engrailed-2,engrailed-2
pituitary adenylate cyclase,pituitary adenylate cyclase
mib-5,mib-5
mtor complex 1 family,mtor complex 1 family
insulin-like growth factors,insulin-like growth factors
adenylate cyclase,adenylate cyclase
neuropilin-1,neuropilin-1
eukaryotic translation initiation factor 4emtor,eukaryotic translation initiation factor 4emtor
igf1r,jtk13
enhancer factor-2,enhancer factor-2
fox transcription factorsneurotrophic,fox transcription factorsneurotrophic
upstream receptor tyrosine kinase,upstream receptor tyrosine kinase
p27,p24g3
hnf3beta,hnf3beta
rat cerebral cortical precursorsdnase i,rat cerebral cortical precursorsdnase i
histone mrnajoint,histone mrnajoint
ki-67,ki-67
insulin-like growth factor-i,insulin-like growth factor-i
homeo box-containing genes en-1,homeo box-containing genes en-1
tyrosine-kinase receptor,tyrosine-kinase receptor
basic fibroblast growth factor,basic fibroblast growth factor
purkinje cell sagittal stripe,purkinje cell sagittal stripe
aktemx2 homeodomain transcription factor,aktemx2 homeodomain transcription factor
chicken engrailed genes,chicken engrailed genes
igf1 receptor,igf1 receptor
brain-derived neurotrophic factor,brain-derived neurotrophic factor
foxa2,hnf-3-beta
insulin-like growth factor 1,insulin-like growth factor 1
igf binding protein-5,igf binding protein-5
bfgf,bfgf
homeobox transcription factor gene engrailed 2,homeobox transcription factor gene engrailed 2
en-activated protein kinase,en-activated protein kinase
proto-oncogene int-1,proto-oncogene int-1
cdk2,hist1h4d
irs-1 ser-1101,irs-1 ser-1101
insulin-like growth factor i,insulin-like growth factor i
brd,brd
engrailed 2 gene,engrailed 2 gene
s6k1,ps6k
znf238,mrd22
d-aspartate and trkb receptors,d-aspartate and trkb receptors
homeo box-containing gene en-2,homeo box-containing gene en-2
eif4b,eif4b
atf5,atf5
insulin-like growth factor-1,insulin-like growth factor-1
gnps,gnps
phosphatidylinositol-3-kinase,phosphatidylinositol-3-kinase
engrailed2,engrailed2
4e-bp1,eif4ebp1
brainpi3k,brainpi3k
homeobox genes,homeobox genes
engrailed genes,engrailed genes
engrailed 2autism associated gene,engrailed 2autism associated gene
p57kip2,ib291
homeobox transcription factor,homeobox transcription factor
igf1,igf1a
pacap,mzb1
late cyclase-activating polypeptide,late cyclase-activating polypeptide
engrailed-2 mutant,engrailed-2 mutant
glycogen synthase kinase 3beta,glycogen synthase kinase 3beta
engrailed,engrailed
igf-2,igf-2
en-2,en-2
mitog,mitog
eukaryotic translation initiation factor 4e,eukaryotic translation initiation factor 4e
mecp2 mutant,mecp2 mutant
igf-1,igf-1
semaphorin 3a,semaphorin 3a
outer egl gnps,outer egl gnps
atoh1,math-1
pka,pka
pcna,atld2
protein,protein
muc4,muc4
nonemuc4,nonemuc4
luciferase reporter,luciferase reporter
lipocalin 2,lipocalin 2
lipocalin-2,lipocalin-2
acute phase protein lipocalin 2,acute phase protein lipocalin 2
mcm2-7 double hexamers,mcm2-7 double hexamers
budding yeastcdt1,budding yeastcdt1
dna-dependent protein kinase,dna-dependent protein kinase
atrip,mgc21482
cyclin-dependent kinases,cyclin-dependent kinases
cdc25 family,cdc25 family
s phase checkpoint kinasesa,s phase checkpoint kinasesa
cdk inhibitors,cdk inhibitors
ii topoisomerases,ii topoisomerases
cyclin b,cyclin b
fork protection complex,fork protection complex
mrc1,mmr
mrn,mrn
checkpoint kinase,checkpoint kinase
pre-ic complex,pre-ic complex
pol epsilon holoenzyme,pol epsilon holoenzyme
replication proteins dpb11,replication proteins dpb11
cdc2,pold
cip,cip
dna primase,dna primase
atm protein,atm protein
geminininhibition,geminininhibition
sv40 t antigenstructural,sv40 t antigenstructural
cdk,cdk
mre11 complex,mre11 complex
rad9,rad9a
cdk4,cdk4
checkpoint activationreplication protein a,checkpoint activationreplication protein a
chk1cdc25a,chk1cdc25a
cdt1identification,cdt1identification
pikk,pikk
mrn complex,mrn complex
rad4topbp1topbp1,rad4topbp1topbp1
mcm2-7-related helicase mcm8,mcm2-7-related helicase mcm8
fpc,nec 2
orc,orc
rad1,ercc4
kip,sip2-28
drf1,scbms
primpolhprimpol1,primpolhprimpol1
replication factor c,replication factor c
mcm4mec1,mcm4mec1
ddks kinases,ddks kinases
9,9
retinoblastoma protein,retinoblastoma protein
dna replicationreplication protein a,dna replicationreplication protein a
rpa,rpa
proliferating cell nuclear antigen,proliferating cell nuclear antigen
cyclin-dependent kinase,cyclin-dependent kinase
cdc7cdk,cdc7cdk
c-terminal,c-terminal
human mcm2-7 proteins,human mcm2-7 proteins
rad9 s/tq,rad9 s/tq
mcm2-8 protein familymcm9,mcm2-8 protein familymcm9
gins complex,gins complex
rpa32,rpa135
mcm helicase,mcm helicase
chk1,chk1
dna polymerases,dna polymerases
human cdc25a,human cdc25a
rad3-related,rad3-related
claspin,claspin
phosphatidylinositol-3-oh kinase,phosphatidylinositol-3-oh kinase
