Gene,Reference
tance-associated proteinmicrosomal glutathione glutathione transferase zeta 1atp-binding cassetteapoptosis-inducing factorsuperoxide dismutase-1nuclear factor kappa bnuclear factor from activated t cellspegylated,tance-associated proteinmicrosomal glutathione glutathione transferase zeta 1atp-binding cassetteapoptosis-inducing factorsuperoxide dismutase-1nuclear factor kappa bnuclear factor from activated t cellspegylated
hbsag,hbsag
factor 2tumor necrosis factor alphaviral protein,factor 2tumor necrosis factor alphaviral protein
cyclophilinactive,cyclophilinactive
virus m1 protein,virus m1 protein
tight junction and basement membrane proteins,tight junction and basement membrane proteins
ccr5-binding cyclophilin from toxoplasma gondiipeptidyl-prolyl cis-trans isomerases,ccr5-binding cyclophilin from toxoplasma gondiipeptidyl-prolyl cis-trans isomerases
homeo box-containing gene en-2,homeo box-containing gene en-2
histone mrnajoint,histone mrnajoint
pdk1identification,pdk1identification
homeo box-containing genes en-1,homeo box-containing genes en-1
pituitary adenylate cyclase,pituitary adenylate cyclase
fox transcription factorsneurotrophic,fox transcription factorsneurotrophic
mecp2 mutant,mecp2 mutant
fibroblast growth factor,fibroblast growth factor
outer egl gnps,outer egl gnps
purkinje cell sagittal stripe,purkinje cell sagittal stripe
tsc1 mutant,tsc1 mutant
upstream receptor tyrosine kinase,upstream receptor tyrosine kinase
mitog,mitog
late cyclase-activating polypeptide,late cyclase-activating polypeptide
enylate cyclase,enylate cyclase
igf-2,igf-2
igf binding protein-5,igf binding protein-5
semaphorin 3a,semaphorin 3a
s6k1,ps6k
hnf3beta,hnf3beta
rat cerebral cortical precursorsdnase i,rat cerebral cortical precursorsdnase i
homeobox genes,homeobox genes
gnps,gnps
enhancer factor-2,enhancer factor-2
zic1immunolocalization,zic1immunolocalization
brainpi3k,brainpi3k
brd,brd
aktemx2 homeodomain transcription factor,aktemx2 homeodomain transcription factor
insulin-like growth factorsinteractions,insulin-like growth factorsinteractions
basic fibroblast growth factora,basic fibroblast growth factora
fgf,fgf
eukaryotic translation initiation factor 4emtor,eukaryotic translation initiation factor 4emtor
d-aspartate and trkb receptors,d-aspartate and trkb receptors
engrailed-2 mutantsa,engrailed-2 mutantsa
en-activated protein kinase,en-activated protein kinase
brain-derived neurotrophic factor,brain-derived neurotrophic factor
bdnf,bdnf-as
homeobox 2,homeobox 2
engrailed2,engrailed2
engrailed 2autism associated gene,engrailed 2autism associated gene
nonemuc4,nonemuc4
acute phase protein lipocalin 2,acute phase protein lipocalin 2
protein,protein
xmus101,xmus101
cdt1identification,cdt1identification
pho,pho
pre-ic,pre-ic
fork protection complex,fork protection complex
replication proteins dpb11,replication proteins dpb11
atm-and rad3-related,atm-and rad3-related
cdc7cdk,cdc7cdk
checkpoint kinase,checkpoint kinase
9-1-1 checkpoint complex,9-1-1 checkpoint complex
dna primase-polymerase,dna primase-polymerase
cdks,cdks
sta,lemd5
b-type cyclins,b-type cyclins
rad17mrc1,rad17mrc1
rad3,rad3
geminininhibition,geminininhibition
tof1,tof1
primasea,primasea
dna polymerase alphastructure,dna polymerase alphastructure
kip,sip2-28
rad9 s/tq,rad9 s/tq
dnaa,dnaa
topbp1the,topbp1the
dna,dna
p34cdc2,pold
cell-cycle checkpoint gene atr,cell-cycle checkpoint gene atr
mcm proteins,mcm proteins
cdc25 a phosphatasecdc25 phosphatases,cdc25 a phosphatasecdc25 phosphatases
dna polymerase a,dna polymerase a
chk1cdc25a,chk1cdc25a
mcm2-8 protein familymcm9,mcm2-8 protein familymcm9
rad53,hucds1
due-b,ba379j5.3
forkreplication protein a,forkreplication protein a
cdk,cdk
cdk inhibitors,cdk inhibitors
rbtipin,rbtipin
g1-cyclinsa vertebrate gene,g1-cyclinsa vertebrate gene
s phase checkpoint kinasesa,s phase checkpoint kinasesa
pre-ic complex,pre-ic complex
pikk,pikk
rad3-related,rad3-related
sld2,sld2
pol epsilon holoenzyme,pol epsilon holoenzyme
9-1-1,9-1-1
cycline,cycline
dna-replication factor mcm4,dna-replication factor mcm4
e2f-specifc genes,e2f-specifc genes
hmcm8autoradiography,hmcm8autoradiography
sld3,flj41618
checkpoint activationreplication protein a,checkpoint activationreplication protein a
budding yeastcdt1,budding yeastcdt1
type i and iii topoisomerases,type i and iii topoisomerases
hexameric mcm2-7 complex,hexameric mcm2-7 complex
cdc45the,cdc45the
9,9
mrn,mrn
mcm4mec1,mcm4mec1
cons,cons
ataxia telangiectasi,ataxia telangiectasi
dna helicase,dna helicase
rad17 complexesatrip,rad17 complexesatrip
sld3 proteins,sld3 proteins
topoisomerases,topoisomerases
mcm10,cna43
rad4topbp1topbp1,rad4topbp1topbp1
pol (epsilon},pol (epsilon}
dna replicationreplication protein a,dna replicationreplication protein a
ataxia telangiectasia mutat,ataxia telangiectasia mutat
fpc,nec 2
atr activators,atr activators
gins in budding yeastsld7,gins in budding yeastsld7
pikk regulatory domaintopbp1,pikk regulatory domaintopbp1
ii topoisomerases,ii topoisomerases
cip,cip
sld3 mutants,sld3 mutants
cyclin b,cyclin b
replication factor c,replication factor c
primase,primase
ddks kinases,ddks kinases
atrchk1,atrchk1
mrn complex,mrn complex
primpolhprimpol1,primpolhprimpol1
c-terminal,c-terminal
hrad17,rad24
sv40 t antigenstructural,sv40 t antigenstructural
gemc1,gmnc
brct domains,brct domains
ticrr,flj41618
interferon,interferon
fas ligandfas,fas ligandfas
plasminogen activator inhibitor type 1,plasminogen activator inhibitor type 1
tlr-associated signal adapter moleculesinterferon-γ-inducing factor,tlr-associated signal adapter moleculesinterferon-γ-inducing factor
con a,con a
nk1.1pos,nk1.1pos
procaspase-1,procaspase-1
il-12,il-12
nlrp3 inflammasome,nlrp3 inflammasome
tgf-β,tgf-β
recombinant il-18,recombinant il-18
pattern recognition receptors,pattern recognition receptors
toll-like receptors,toll-like receptors
ifn-β,ifn-β
th2 responsesil-18,th2 responsesil-18
interleukin-1β converting enzymenon-canonical inflammasome activation targets,interleukin-1β converting enzymenon-canonical inflammasome activation targets
il-18,il-1g
tissue,tissue
il-1βactivation,il-1βactivation
fdp,otor
fibrin,fibrin
caspase-8,caspase-8
caspase-11nalps,caspase-11nalps
apap,apap
cellstlr4,cellstlr4
γ inducing factor,γ inducing factor
fibrinogen-γ,fibrinogen-γ
tir,tir
nitric oxide synthaseinterleukin-18 binding protein,nitric oxide synthaseinterleukin-18 binding protein
tpa,plat
fibrinogen,fibrinogen
th1,hspc130
sclu shrna,sclu shrna
hclu,hclu
psclu,psclu
baxchallenge,baxchallenge
ncerclusterin,ncerclusterin
igf-1r,igf-1r
igf-1r receptor kinase,igf-1r receptor kinase
bax (a),bax (a)
shclu,shclu
shclu containing fragment,shclu containing fragment
-gal+,-gal+
-myc oncogenes,-myc oncogenes
β-gal+,β-gal+
rascells,rascells
igf,igf1a
pot1premature,pot1premature
ras12v,ras12v
apolipoprotein,apolipoprotein
shrna-sclu,shrna-sclu
phospho-ser15,phospho-ser15
mab291,mab291
nclu,nclu
o(a) sclu,o(a) sclu
a,a
shrna,shrna
maf291,maf291
shrna-scr,shrna-scr
α-tubulin,α-tubulin
phospho-erk-1/2,phospho-erk-1/2
 hif1α protei, hif1α protei
tlr4diet,tlr4diet
f-kappab,f-kappab
 hif1αth, hif1αth
il-1β,il-1β
 ldh-, ldh-
nf-κbrecently,nf-κbrecently
sih-2,sih-2
hif-1,hypb
tlr4-i,tlr4-i
 tlr, tlr
toll-like receptor 4current,toll-like receptor 4current
 sitlr, sitlr
-luciferas,-luciferas
protein kinase,protein kinase
ovel,ovel
-pcdna,-pcdna
hypoxia-inducible factor-1alpha,hypoxia-inducible factor-1alpha
sih-1,sih-1
il-1beta,il-1beta
ros-inflammasome,ros-inflammasome
hif1α specific sirnas,hif1α specific sirnas
sildh,sildh
hfd,hfd
cartilage hif1α,cartilage hif1α
factor 1alpha,factor 1alpha
hypoxia-inducible factor 1,hypoxia-inducible factor 1
sirt1increased,sirt1increased
hif-2alpha,hif-2alpha
sinc,sinc
vegfobesity,vegfobesity
bsa,bsa
ldha-lactate,ldha-lactate
cgi-58,ncie2
pstat,pstat
ihc,ihc
histone h2a variant,histone h2a variant
gnext,gnext
dna repair proteinss,dna repair proteinss
topoisomerase i,topoisomerase i
cdc25c protein,cdc25c protein
dna damage sensor kinases,dna damage sensor kinases
alexa fluor 488 goat-anti-mouse igg,alexa fluor 488 goat-anti-mouse igg
vp-1,vp-1
foxn1stat3,foxn1stat3
activator of transcription (stat) 3,activator of transcription (stat) 3
pstat-5,pstat-5
anti-α-tubulin,anti-α-tubulin
human recombinant epidermal growth factor,human recombinant epidermal growth factor
cytochalasin ,cytochalasin 
patm,patm
ddr,mcph24
phospho-histone h2ax (ser139),phospho-histone h2ax (ser139)
gcdc25c,gcdc25c
cytochalasin d,cytochalasin d
stathminactivated,stathminactivated
tubulins,tubulins
foxn1nu,foxn1nu
stat3galiellalactone,stat3galiellalactone
stats,stats
chk2,hucds1
γh2ax,γh2ax
pink1 mutations,pink1 mutations
jnk-interacting protein,jnk-interacting protein
erminal kinase,erminal kinase
lrrk2 gtp bindingkinase,lrrk2 gtp bindingkinase
pink1hereditary,pink1hereditary
leucine-rich repeat kinase-2,leucine-rich repeat kinase-2
apoptosis signal-regulating kinase 1akt1,apoptosis signal-regulating kinase 1akt1
lrrk2lrrk2,lrrk2lrrk2
extracellular signal-related kinases,extracellular signal-related kinases
pkbα,pkbα
r1441c/g mutantslrk-1,r1441c/g mutantslrk-1
g2019s lrrk2,g2019s lrrk2
c-abl tyrosine-kinase,c-abl tyrosine-kinase
pink1exp,pink1exp
-rich repeat kinase 2,-rich repeat kinase 2
pkbγ,pkbγ
serine 65pink1,serine 65pink1
parkinson’s disease mutants affect,parkinson’s disease mutants affect
abl family kinasesregulation,abl family kinasesregulation
rac1-binding scaffold protein,rac1-binding scaffold protein
mpt,mpt
dat,dat
rich repeat kinase 2,rich repeat kinase 2
kinase-akt,kinase-akt
fas ligand promoterdominant,fas ligand promoterdominant
mixed-lineage kinase,mixed-lineage kinase
pkbβ,pkbβ
g2019s lrrk2 mutationthe,g2019s lrrk2 mutationthe
jun-n-terminal kinase,jun-n-terminal kinase
stk39,paskin
c-jun activation domaincep-1347,c-jun activation domaincep-1347
mek kinase 1,mek kinase 1
protein posh,protein posh
poshposh,poshposh
ine kinasesoncogenic,ine kinasesoncogenic
ligase,ligase
far up stream element binding protein,far up stream element binding protein
threonine and tyrosine kinases,threonine and tyrosine kinases
erks,erks
apoptosis signal-regulating kinase 1,apoptosis signal-regulating kinase 1
jun n-terminal kinase 3,jun n-terminal kinase 3
-ang ii antibodies,-ang ii antibodies
mapks,mapks
pe 1 receptor,pe 1 receptor
activated protein kinase,activated protein kinase
angiotensin-converting enzyme 2cardiac,angiotensin-converting enzyme 2cardiac
x receptor mrna,x receptor mrna
-collagen iii,-collagen iii
activated protein kinases,activated protein kinases
ace antibodies,ace antibodies
ang(1-7),ang(1-7)
α-sma,α-sma
synthetic liver x receptor,synthetic liver x receptor
masson,masson
ii receptor,ii receptor
ang(1-7)-mas,ang(1-7)-mas
phospho-p38,phospho-p38
signal-regulated kinase 1/2,signal-regulated kinase 1/2
liver x receptor-alpha,liver x receptor-alpha
phospho-p38 mapk,phospho-p38 mapk
collagen iii,collagen iii
anti-β-actin,anti-β-actin
mitogen- 1 activated protein kinase,mitogen- 1 activated protein kinase
atrapangiotensin ii type-1 receptor,atrapangiotensin ii type-1 receptor
angii-at1,angii-at1
ii,pacap-r2
angiotensin-(1-7),angiotensin-(1-7)
keap-1,keap-1
collagen i,collagen i
ang (1-7),ang (1-7)
angiotensin i,angiotensin i
low-density lipoprotein,low-density lipoprotein
-collagen i,-collagen i
ang,hel168
e1,aatf
sircol,sircol
ts-1,ts-1
ll-3,ll-3
f-beta,f-beta
ll-37,ll-37
collagen mrna,collagen mrna
matrixextracellular signal-regulated kinase,matrixextracellular signal-regulated kinase
e1small interfering rnatransforming growth factor,e1small interfering rnatransforming growth factor
collagen-dye complexes,collagen-dye complexes
tgf-betatranscription factor ets-1,tgf-betatranscription factor ets-1
collagen 1a1collagen 1a2collagen 3a1connective tissue growth factorextracellular,collagen 1a1collagen 1a2collagen 3a1connective tissue growth factorextracellular
hdf,hdf
hdfs,hdfs
mcp-1,gdcf-2
human cathelicidin ll-37a cathelicidin family,human cathelicidin ll-37a cathelicidin family
human antimicrobial peptide ll-37in,human antimicrobial peptide ll-37in
nrep,p311
ncam1 interactionsadditionally,ncam1 interactionsadditionally
tgf-β superfamily,tgf-β superfamily
5-ht(1a) receptor,5-ht(1a) receptor
hi variants,hi variants
v5,v5
th3 cytokine,th3 cytokine
5-hydroxytryptamine 1a receptor,5-hydroxytryptamine 1a receptor
smad3,hst17436
stop codons,stop codons
abeta peptides,abeta peptides
γ,γ
depressiontransforming growth factor-beta1,depressiontransforming growth factor-beta1
snpeff,snpeff
cd4(+),cd4(+)
cd25(+),cd25(+)
ubiquitin-conjugating enzymeof,ubiquitin-conjugating enzymeof
start,start
major beta-secretase,major beta-secretase
grch37,grch37
ifn,ifn-alphad
suc,suc
human grch37 reference sequence,human grch37 reference sequence
"cacna1b, -1c, and -2d4","cacna1b, -1c, and -2d4"
rotein,rotein
cacna1a,cacna1a
ref,aly
il-10,tgif1
yeast cell cycle gene cdc34,yeast cell cycle gene cdc34
c/ebp-deltae74-like factor,c/ebp-deltae74-like factor
p-38,p-38
mitogen-activated protein kinase) signal pathway proteins,mitogen-activated protein kinase) signal pathway proteins
neutrophil gelatinase -associated lipocalin,neutrophil gelatinase -associated lipocalin
pc-rxrto,pc-rxrto
luciferase,luciferase
pc-klf15,pc-klf15
neutrophil gelatinase-2,neutrophil gelatinase-2
ppp1r18,ppp1r18
pkcthe,pkcthe
rxrnext,rxrnext
response element binding proteins,response element binding proteins
mouse anti-p-erk1,mouse anti-p-erk1
mapk (,mapk (
prltk,prltk
rxrluciferase,rxrluciferase
misp,dkfzp686h18209
pkcfisetin,pkcfisetin
rxrtpa,rxrtpa
pp1r18,pp1r18
lipocalin 2tumour stroma-derived lipocalin-2,lipocalin 2tumour stroma-derived lipocalin-2
protein lipocalin 2,protein lipocalin 2
ellislcn2,ellislcn2
ngal genethere,ngal genethere
lipocalin family,lipocalin family
pc-klf10,pc-klf10
- c-jun n-terminal kinase,- c-jun n-terminal kinase
escc,escc
associated lipocalin,associated lipocalin
rxrlipocalin 2,rxrlipocalin 2
anti-erk1/2,anti-erk1/2
perk1/2a,perk1/2a
lipocalin,lipocalin
rxrin,rxrin
pkcfollowing,pkcfollowing
upstream lats1,upstream lats1
sh-control duplexes,sh-control duplexes
proteinase k,proteinase k
hu6,hu6
tazyap,tazyap
lats,lats
ctfg proteins,ctfg proteins
glyceraldehyde 3-phosphate dehydrogenase,glyceraldehyde 3-phosphate dehydrogenase
cad-11,cad-11
shyap,shyap
yapyap,yapyap
bovine serum albumin,bovine serum albumin
ap,ap
β-catenin destruction complex,β-catenin destruction complex
phosphorylated yap,phosphorylated yap
egfp,egfp
sh-control,sh-control
fgfr,fgfr
pdgfrsgk1,pdgfrsgk1
l1000,l1000
fibroblast growth factor receptor 2 iiib,fibroblast growth factor receptor 2 iiib
tuberous sclerosis tumor suppressor complex,tuberous sclerosis tumor suppressor complex
sgk1,sgk1
itgb1,vlab
il7r,cd127
3-kinase,3-kinase
c3 isoformthe,c3 isoformthe
animaltfdb,animaltfdb
fgfr2,bbds
tuberinlama2,tuberinlama2
nf- akt1,nf- akt1
clathrin,clathrin
pp2r3a,pp2r3a
receptor tyrosine kinasesaberrant,receptor tyrosine kinasesaberrant
-ethylmaleimide–sensitive factor attachment protein receptors,-ethylmaleimide–sensitive factor attachment protein receptors
t-snare syntaxin 6regulation,t-snare syntaxin 6regulation
reactomefi,reactomefi
dantzig,dantzig
breast cancer susceptibility gene product,breast cancer susceptibility gene product
platelet-derived growth factor phospholipase c,platelet-derived growth factor phospholipase c
